statement,fact_confidence,classify_confidence,authentication_confidence,label_prediction,label
Building a wall on the U.S.-Mexico border will take literally years.,1.0,0.85,0.64,mostly-true,true
Wisconsin is on pace to double the number of layoffs this year.,0.2,0.65,0.82,barely-true,false
Says John McCain has done nothing to help the vets.,0.3,0.9,0.52,false,false
Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.,0.3,0.6,0.54,barely-true,half-true
"When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws, Gov. Scott Walker nodded yes.",0.7,0.85,0.54,false,pants-fire
Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees.,1.0,0.9,0.62,true,true
Says that Tennessee law requires that schools receive half of proceeds -- $31 million per year -- from a half-cent increase in the Shelby County sales tax.,0.95,0.7,0.78,half-true,true
"Says Vice President Joe Biden ""admits that the American people are being scammed"" with the economic stimulus package.",0.3,0.85,0.65,false,barely-true
Donald Trump is against marriage equality. He wants to go back.,0.9,0.85,0.87,mostly-true,true
We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,0.6,0.85,0.68,false,barely-true
